SampleID	sample	Latitude	longitude	Area	Pais	Estado	Zona	Localidad	subsamples	area_m2	Last_fire_y_ago	collection_date	biome	bioregion	ecoregion	Bray_Group	vegetacion	nativeness	warning	delta15N	N_conc_g_kg	P_conc_mg_kg	abund	richness	mold_Eurotiales_Abundance	mold_Mortierellales_Abundance	mold_Mucorales_Abundance	mold_Trichoderma_Abundance	mold_Umbelopsidales_Abundance
MX17_Cuicatlan	MX17	18.16	-97.3	Mexico:Puebla:Cuicatlan	MÃ©xico	Puebla	San Pedo TetitlÃ¡n	Cuicatlan	40	2500	100	42037	shrubland: xeric shrubland biome	Mexican Dry & Coniferous Forests Bioregion	TehuacÃ¡n Valley Matorral	VII	Matorral_Xerofilo			6.239017281	7.613545519	195.1327767	2213	782	0.361500226	2.214188884	0.271125169	0.045187528	0
MX20_Meztitlan	MX20	20.48	-98.67	Mexico:Hidalgo:Meztitlan	MÃ©xico	Hidalgo	Venados	Meztitlan	40	2500	100	42061	shrubland: montane shrubland biome	Sierra Madre Forests and Mexican drylands bioregion	Sierra Madre Oriental Pine-Oak Forests	VII	Matorral_Xerofilo			5.614136712	4.089462138	190.4993728	5219	1382	0.038321518	0.843073386	0.210768346	0.038321518	0
MX29_Agua_blanca	MX29	17.62	-92.47	Mexico:Tabasco:Agua blanca	MÃ©xico	Tabasco	Caparroso	Agua_blanca	40	2500	100	42493	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Mesoamerican Gulf-Caribbean Mangroves.	V	Selva_Alta			1.346758939	4.68344486	14.95400472	6200	1689	0.080645161	4.467741935	2.548387097	1.419354839	0
MX30_Bonampak	MX30	16.81	-91.11	Mexico:Chiapas:Bonampak	MÃ©xico	Chiapas	Las Lagunitas	Bonampak	40	2500	100	42495	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	PetÃ©n-Veracruz moist forests	V	Selva_Alta			0.537016563	5.210405766	0.346462715	7273	1837	0.453732985	1.278702049	0.439983501	1.457445346	0.013749484
MX31_Tuxtlas_B	MX31	18.58	-95.08	Mexico:Veracruz:Tuxtlas B	MÃ©xico	Veracruz	El Cocal	Tuxtlas_B	40	2500	100	42838	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Veracruz Moist Forests	V	Selva_Alta			2.214135639	3.646910743	0.170832685	6627	1174	0	3.138675117	0.030179568	0.5734118	0
S911_Maravilla_Tenejapa	S911	16.16	-91.31	Mexico:Chiapas:Maravilla Tenejapa	MÃ©xico	Chiapas	Maravilla de Tenejapa	Maravilla_Tenejapa	40	2500	100	43438	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	PetÃ©n-Veracruz moist forests	V	Selva_Alta			-0.098704032	13.34334939	9.330835149	5108	1391	2.388410337	0.509005482	0.646045419	1.429130775	0
S913_CE_Las_Guacamayas	S913	16.25	-90.83	Mexico:Chiapas:Centro Ecoturistico Ara Macao Las Guacamayas	MÃ©xico	Chiapas	TlatizapÃ¡n	CE_Las_Guacamayas	40	2500	100	43440	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	PetÃ©n-Veracruz moist forests	V	Selva_Alta			1.306230447	13.22188874	21.21567871	7140	1619	0.714285714	1.988795518	0.168067227	1.848739496	0
MX25_Ocote	MX25	16.88	-93.45	Mexico:Chiapas:Ocote	MÃ©xico	Chiapas	El Chapopote	Ocote	40	2500	100	42496	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	PetÃ©n-Veracruz moist forests	VIII	Selva_Alta			5.57236789	2.86858827	2.005184447	2720	699	0.073529412	3.75	0.625	1.875	0
G5134_Bella_Flor_1	G5134	20.86	-90.14	Mexico:YucatÃ¡n:Bella Flor	MÃ©xico	YucatÃ¡n	Bella Flor	Bella_Flor_1	40	2500	40	43649	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	I	Selva_Baja			2.045543746	17.85730444	48.51033732	6224	703	0.642673522	0.144601542	0.064267352	1.028277635	0
G5135_Villa_Madero_Campeche	G5135	19.77	-90.55	Mexico:Campeche	MÃ©xico	Campeche	Campeche	Villa_Madero_Campeche	40	2500	50	43649	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Moist Forests	I	Selva_Baja			3.035507757	8.724105745	30.86174944	5254	1216	1.52264941	0.342596117	0.019033118	1.655881233	0.038066235
